Albrecht Präzision GmbH & Co. KG	Albrecht Präzision GmbH &amp;amp; Co. KG	Antoniusstr. 25	Moritz Kächele	Uwe Rolf
Hala Contec GmbH & Co.KG	HALA Contec GmbH &amp;amp; Co. KG	Blumenstr. 12	Peter Hasch	<Not Found>
Hannusch Industrieelektronik e. K. Claudia Hannusch	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Haydon Kerk Motion Solutions	<Not Found>	<Not Found>	<Not Found>	<Not Found>
HERMOS AG	Hermos AG	Gartenstr. 19	Jürgen Opel	Rainer Michael Herold
IMOS Gubela GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Infineon Technologies AG	Infineon Technologies AG	Am Campeon 1-15	Angelique van der Burg	Andrea Birkmann
Karl-Heinz Mauz GmbH EKULIT Elektrotechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
KERAFOL Keramische Folien GmbH	KERAFOL Holding GmbH	Koppepl. 1	Willi Neumüller	<Not Found>
KERAFOL Keramische Folien GmbH & Co.KG	KERAFOL Keramische Folien GmbH &amp;amp; Co. KG	Koppepl. 1	Willi Neumüller	<Not Found>
KIENZLE SYSTEMS Flach-Eingabe-Systeme	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Konradin-Verlag Robert Kohlhammer GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
L-3 NARDA Safety Test Solutions GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Layher AG flexible Technologie	<Not Found>	<Not Found>	<Not Found>	<Not Found>
MICRO-EPSILON Messtechnik GmbH & Co. KG	MICRO-EPSILON-MESSTECHNIK GmbH &amp;amp; Co. K.G.	Königbacherstr. 15	Andreas Rettenberger	<Not Found>
nVent - SCHROFF GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
OKW Odenwälder Kunststoffwerke Gehäusesysteme GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Paul Leibinger GmbH & Co. KG	Paul Leibinger GmbH &amp;amp; Co. KG Nummerier- und Markierungssysteme	Daimlerstr. 14	<Not Found>	<Not Found>
phg Peter Hengstler GmbH + Co. KG	PHG Peter Hengstler GmbH + Co.KG	Dauchingerstr. 12	Stefan Emminger	<Not Found>
Pittman Motors	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Proto-Electronics.com	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Pulse Electronics GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
RAFI GmbH & Co. KG	RAFI GmbH &amp;amp; Co. KG	Ravensburgerstr. 128-134	Richard Otmar Wörz	Markus Daniel Christian Folz
Rosenberger Hochfrequenztechnik GmbH & Co. KG	Rosenberger Hochfrequenztechnik GmbH &amp;amp; Co. KG	Schulstr. 1	<Not Found>	<Not Found>
Scheugenpflug AG	Scheugenpflug AG	Gewerbepark 23	<Not Found>	<Not Found>
SET GmbH - Smart Embedded Technologies	<Not Found>	<Not Found>	<Not Found>	<Not Found>
SÜSS MicroTec SE	SÜSS MicroTec SE	Schleißheimerstr. 90	Annegret Weber	<Not Found>
Swoboda Wiggensbach KG	Swoboda Wiggensbach KG	Max-Swoboda-Str. 1	<Not Found>	<Not Found>
Telegärtner Karl Gärtner GmbH	Telegärtner Karl Gärtner GmbH	Lerchenstr. 35	Christian Roderich Benz	Kai Numssen
Test Research, Inc. (TRI)	<Not Found>	<Not Found>	<Not Found>	<Not Found>
TTI, Inc.	TTI, Inc.	Ganghoferstr. 34	Thomas Rolle	Thomas Dudenhöffer
Vishay Europe Sales GmbH c/o Vishay Electronic GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Weißer + Grießhaber GmbH Präzisionskunststoffspritzguss	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Würth Elektronik GmbH & Co. KG - WEdirekt, der Online-Shop für Leiterplatten und Schablonen	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Yageo Corporation	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Yokogawa Deutschland GmbH Niederlassung Herrsching Test und Messtechnik	<Not Found>	<Not Found>	<Not Found>	<Not Found>
ZETTLER electronics GmbH	Zettler Bauelemente GmbH	Junkersstr. 3	<Not Found>	<Not Found>
Zollner Elektronik AG	Zollner Elektronik AG	Manfred-Zollner-Str. 1	<Not Found>	<Not Found>
Dalmec GmbH	Dalmec GmbH	Michael-Kometer-Ring 2	<Not Found>	<Not Found>
Diana Electronic Systeme GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Eckardt Systemes GmbH	<Not Found>	<Not Found>	<Not Found>	<Not Found>
ifp analytics	<Not Found>	<Not Found>	<Not Found>	<Not Found>
Nidec Graessner GmbH & Co. KG	Nidec Graessner GmbH &amp;amp; Co. KG	Kuchenäcker 11	<Not Found>	<Not Found>
OPEN MIND Technologies AG	OPEN MIND Technologies AG	Argelsrieder Feld 5	Andreas Leser	Silvia Weiß
Schunk GmbH & Co. KG, Spann- und Greiftechnik	Schunk GmbH &amp;amp; Co. KG Spann- und Greiftechnik	Bahnhofstr. 106-134	Jochen Ehmer	Thilo Karl Morlock
Willtec Messtechnik eK	Willtec Messtechnik eK	Eschenweg 4	<Not Found>	<Not Found>
ABENE Deutschland	<Not Found>	<Not Found>	<Not Found>	<Not Found>
